"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 07 09:57:08 UTC 2024","Thu Nov 07 09:57:10 UTC 2024","1751","src.tests.login","test_login","","","","test_valid_login[credentials0]",""
"passed","Thu Nov 07 09:57:10 UTC 2024","Thu Nov 07 09:57:11 UTC 2024","721","src.tests.login","test_login","","","","test_invalid_login[credentials0]",""
